ID,Username,Password,FirstName,LastName,PhoneNumber,Email,IsReviewer,IsAdmin
1,MProudfoot08,c!omputeR42,Miranda,Proudfoot,225-618-2845,MProudfoot@ma1lboxorg,0,0
2,HBeren97,Writ*e70,Hope,Beren,480-131-1667,Hope.Beren1@b1zmailbiz,0,0
3,BAncalagon65,en#dIng23,Bethany,Ancalagon,203-009-1495,BAncalagon@b1zmailbiz,1,1
4,AElladan17,magNeti@c78,Alyssa,Elladan,239-125-8839,AElladan24@gma1lus,0,0
5,MElwing61,compu*teR01,Melanie,Elwing,339-765-5733,MElwing92@everyma1lnet,1,1
6,RThe Brown31,isla)Nd49,Ruth,The Brown,,RThe Brown46@yah00us,1,0
7,DGildor65,win^doW70,Daniella,Gildor,,DGildor@b1zmailbiz,0,0
8,GKili42,woRd)s48,Gabbi,Kili,339-956-3418,GKili44@hotma1lcom,1,0
9,AOri02,deMande*d16,Andrea,Ori,209-187-4571,AOri55@everyma1lus,1,1
10,MMaggot05,wr#onG52,Madison,Maggot,303-393-1350,MMaggot77@yah00org,1,1
11,LElrohir70,w)inDow63,Linda,Elrohir,,LElrohir@somema1lorg,1,1
12,TGorbag17,sec@retlY89,Tina,Gorbag,212-504-5965,TGorbag40@somema1lnet,1,0
13,CDwalin15,dEma(nded83,Clarissa,Dwalin,480-489-4136,CDwalin16@somema1lco.uk,1,1
14,NUlmo71,abou$T31,Norah,Ulmo,231-152-2410,Norah.Ulmo91@yah00co.uk,1,0
15,CFili75,inte@rEst11,Clarissa,Fili,212-159-3174,CFili21@gma1lco.uk,0,0
16,VGamgee22,badl%Y98,Vanessa,Gamgee,907-013-4758,VGamgee@ma1l2uco.uk,0,1
17,HTreebeard47,coMput)er65,Haley,Treebeard,303-189-4386,HTreebeard72@everyma1lus,1,1
18,JHamfast81,Enter$63,Jasmine,Hamfast,803-483-7485,JHamfast@everyma1lcom,0,0
19,AGloin61,sideKic@k94,Amanda,Gloin,314-181-9076,AGloin@gma1lorg,0,1
20,KFaramir61,as(serT18,Katherine,Faramir,302-245-0273,KFaramir22@everyma1lus,1,0
21,LKhamul95,compuTer$89,Lauren,Khamul,215-584-6456,LKhamul@gma1lbiz,0,0
22,LKili17,aS*sert73,Laura,Kili,231-527-7718,Laura.Kili@somema1lco.uk,1,0
23,AThe Brown69,wi^Cket22,Alexa,The Brown,,AThe Brown83@ma1lboxus,1,0
24,RMandos93,Endin(g87,Ruth,Mandos,,RMandos72@ma1lboxnet,0,0
25,MAnnatar62,liBrary%02,Michaela,Annatar,303-667-5689,MAnnatar41@ma1l2ubiz,0,1
26,MGoldberry02,c*Omputer91,Melanie,Goldberry,385-238-0297,Melanie.Goldberry25@hotma1lorg,0,1
27,VBeregond52,booK%s74,Vivianna,Beregond,,VBeregond43@gma1lbiz,1,1
28,SGoldberry15,de(mandeD90,Savannah,Goldberry,,SGoldberry84@ma1lboxcom,0,1
29,KBeren03,piqUe(96,Katherine,Beren,808-104-8447,KBeren62@yah00us,1,0
30,SNimrodel12,smokE(79,Savannah,Nimrodel,401-259-1328,,1,1
31,LMablung76,islAnd^42,Lauren,Mablung,702-161-6780,LMablung27@yah00net,1,1
32,CFaramir78,Hatch#78,Chelsea,Faramir,240-846-7933,CFaramir9@ma1l2unet,1,1
33,DThranduil20,badl!Y64,Dianna,Thranduil,859-750-4983,DThranduil25@ma1l2uco.uk,1,0
34,ABalin98,Spe(ed19,Audrey,Balin,206-384-0391,ABalin37@yah00org,1,1
35,MFili01,tRyi^ng76,Melody,Fili,212-865-6988,MFili50@somema1lcom,1,1
36,LEru48,abo#uT53,Lydia,Eru,701-568-4284,Lydia.Eru33@everyma1lbiz,0,0
37,LBeregond93,wick!eT03,Linda,Beregond,,,1,1
38,AIdril08,endIn%g96,Aileen,Idril,702-819-4472,AIdril@somema1lcom,0,0
39,JFinarfin25,bAdl*y30,Jessie,Finarfin,229-929-2427,,1,1
40,ARadagast81,sec^rEtly01,Annabella,Radagast,307-939-9890,ARadagast90@somema1lus,0,0
41,LAncalagon09,shOul*d05,Lexie,Ancalagon,314-861-6772,LAncalagon@ma1lboxcom,1,0
42,ENimloth27,moNste^r87,Emma,Nimloth,215-952-6792,Emma.Nimloth@b1zmailnet,0,1
43,MTuor92,s^ecreTly13,Melissa,Tuor,479-299-2032,MTuor@somema1lco.uk,1,0
44,FBombadil31,liGh@t17,Freya,Bombadil,,FBombadil62@hotma1lcom,1,1
45,AFinrod52,secret!lY02,Averie,Finrod,303-747-7626,AFinrod@ma1l2uco.uk,1,0
46,MFinwe41,is)lAnd11,Marishka,Finwe,401-082-4403,MFinwe76@yah00us,0,0
47,ACeleborn76,cA#ptain42,Angie,Celeborn,217-533-7286,ACeleborn6@everyma1lnet,0,1
48,MEarendil30,vis^Ions22,Makenzie,Earendil,219-546-5013,MEarendil46@gma1lbiz,1,0
49,KLegolas46,secRetl^y04,Karen,Legolas,,,1,1
50,LFaramir38,speE!d07,Lauren,Faramir,,LFaramir41@hotma1lorg,0,1
51,EEru63,com)puteR83,Ellie,Eru,229-911-4192,EEru@ma1l2ubiz,1,1
52,AGandalf23,suspen*Se17,Amy,Gandalf,423-490-2699,AGandalf@gma1lbiz,1,1
53,VThranduil96,visiOn$s85,Vanessa,Thranduil,203-640-2298,,0,1
54,GAlatar53,s$pEed26,Gabbi,Alatar,803-430-6233,GAlatar@gma1lbiz,0,1
55,SQuickbeam00,pi)quE04,Sylvia,Quickbeam,201-580-8771,,0,0
56,ADwalin90,reScu)e41,Annabelle,Dwalin,262-978-0558,ADwalin@somema1lorg,1,0
57,JImrahil29,mon(steR56,Jamie,Imrahil,304-794-7000,JImrahil70@yah00com,1,1
58,MWillow22,se(cretlY60,Magdalena,Willow,605-329-3705,Magdalena.Willow@hotma1lcom,1,0
59,ABregolas15,asS^ert86,Annabella,Bregolas,405-224-5462,ABregolas96@everyma1lcom,0,1
60,CIngwe57,En)ter74,Crystal,Ingwe,,CIngwe21@gma1lnet,0,0
61,TSauron47,vi!sionS71,Tina,Sauron,,TSauron7@somema1lcom,1,0
62,SGlorfindel45,islAn(d46,Sandra,Glorfindel,803-585-4785,SGlorfindel34@hotma1lus,1,1
63,AMaedhros47,seCretly!50,Alicia,Maedhros,206-793-1756,AMaedhros64@everyma1lus,1,0
64,JFili03,dRe!ams83,Jasmine,Fili,701-826-0892,Jasmine.Fili58@hotma1lco.uk,1,0
65,KBifur25,tHrou*gh41,Kelsey,Bifur,859-643-5185,KBifur75@b1zmailco.uk,1,0
66,ASulimo97,thRo$w52,Alicia,Sulimo,203-344-5458,ASulimo93@ma1lboxbiz,0,0
67,AIlluvatar26,secreT%ly76,Ana,Illuvatar,339-883-5117,AIlluvatar13@somema1lbiz,0,1
68,SUngoliant02,magne%Tic75,Shelby,Ungoliant,423-243-1930,SUngoliant70@somema1lus,1,0
69,GTulkas80,capta(In56,Gabbi,Tulkas,480-548-9805,GTulkas@ma1l2uorg,0,0
70,AFingolfin62,sh$oUld76,Audrey,Fingolfin,406-370-5414,AFingolfin31@b1zmailco.uk,0,0
71,CStormcrow08,cO!mputer12,Carolina,Stormcrow,,CStormcrow73@hotma1lco.uk,0,1
72,DMithrandir40,wroNg*85,Delilah,Mithrandir,308-072-9182,,1,1
73,MSackville59,ligHt^19,Marishka,Sackville,319-102-8130,MSackville@yah00com,0,0
74,EEarendil67,enT)er81,Elizabeth,Earendil,859-981-6696,EEarendil58@ma1lboxorg,0,1
75,KShelob53,cAptain@17,Kelsey,Shelob,239-067-9054,KShelob43@yah00biz,1,1
76,KElwing69,Secretly(89,Katherine,Elwing,209-082-2013,KElwing@everyma1lco.uk,0,0
77,EThranduil16,i^nteRest74,Emma,Thranduil,207-555-5518,,0,0
78,LLurtz05,L#ight87,Lara,Lurtz,808-630-1014,,0,1
79,MMaeglin00,Secretly)07,Melissa,Maeglin,513-242-4901,MMaeglin61@hotma1lcom,1,0
80,BYavanna83,a)Sked31,Brooke,Yavanna,228-745-7424,BYavanna29@somema1lbiz,0,1
81,JOlorin93,magn)Etic89,Jessie,Olorin,212-342-2839,JOlorin48@hotma1lorg,0,0
82,CElladan50,shouL%d82,Carolina,Elladan,458-792-2070,CElladan@b1zmailorg,1,1
83,CBombur95,w^indoW46,Claire,Bombur,603-972-7209,,1,0
84,BKhamul03,endiNg*20,Bailey,Khamul,252-248-2630,BKhamul89@somema1lus,0,1
85,JDenethor39,asse%rT46,Judith,Denethor,,,0,0
86,KIsildur23,li%braRy92,Katrina,Isildur,218-316-6335,Katrina.Isildur44@ma1l2unet,1,0
87,VYavanna50,captaIn$58,Valerie,Yavanna,513-679-9969,Valerie.Yavanna14@somema1lorg,1,1
88,VShagrat15,s(Peed48,Vanessa,Shagrat,,VShagrat85@ma1lboxbiz,0,1
89,EQuickbeam08,reSc)ue36,Ellen,Quickbeam,240-273-1118,Ellen.Quickbeam5@yah00us,1,0
90,AGrahame45,Asser$t48,Andrea,Grahame,458-118-2595,Andrea.Grahame34@b1zmailco.uk,0,0
91,MBolger49,buI#ld76,Melinda,Bolger,239-041-5016,Melinda.Bolger92@ma1l2uus,0,0
92,ATelchar62,shouLd!96,Aileen,Telchar,252-209-8440,ATelchar23@somema1lorg,0,0
93,CShadowfax72,lIbrar!y05,Christina,Shadowfax,308-580-8444,Christina.Shadowfax47@gma1lnet,0,0
94,AGil-Galad84,isla!Nd78,Autumn,Gil-Galad,803-507-4623,AGil-Galad22@b1zmailco.uk,1,0
95,ASauruman52,secr#eTly54,Angelica,Sauruman,702-903-8721,Angelica.Sauruman92@somema1lorg,1,0
96,JManwe20,liBrary*07,Jessie,Manwe,302-242-6457,JManwe33@ma1l2ucom,1,0
97,CDeagol75,speEd)80,Chelsea,Deagol,479-741-3281,CDeagol8@everyma1lcom,1,0
98,JPharazon64,lIbr^ary14,Jenny,Pharazon,252-557-5896,JPharazon@gma1lorg,1,0
99,IGil-Galad46,captA#in84,Isabell,Gil-Galad,206-226-3154,IGil-Galad64@hotma1lbiz,0,1
100,VTuor95,libr(Ary67,Valerie,Tuor,603-857-0328,VTuor@yah00co.uk,0,1
101,MMaggot75,peOple^32,Molly,Maggot,207-818-0438,MMaggot76@yah00us,0,1
102,NCotton77,lIbr@ary17,Niki,Cotton,228-051-9726,NCotton27@b1zmailbiz,1,1
103,JMaedhros29,ligH#t87,Joy,Maedhros,219-877-1696,JMaedhros2@everyma1lus,1,0
104,HElentari10,Pi$que30,Haley,Elentari,480-315-9557,Haley.Elentari72@ma1lboxco.uk,0,1
105,AMelkor51,vision)S41,Averie,Melkor,217-962-4615,AMelkor73@hotma1lorg,0,0
106,STelchar99,sHeph^erd24,Savannah,Telchar,219-568-0853,Savannah.Telchar39@somema1lbiz,0,0
107,NGothmog67,l)ibrarY01,Natalie,Gothmog,210-492-5969,NGothmog89@ma1lboxnet,1,1
108,CPharazon40,Comp$uter68,Clarissa,Pharazon,218-533-8787,CPharazon@hotma1lorg,1,0
109,NFinwe37,comPut%er52,Niki,Finwe,423-270-5029,NFinwe@ma1lboxbiz,1,1
110,TLurtz00,computE@r14,Tiffany,Lurtz,207-065-9705,TLurtz@everyma1lco.uk,0,1
111,DNimrodel78,ra(bbIt72,Dianna,Nimrodel,605-174-2817,DNimrodel@ma1l2unet,0,0
112,SVarda34,mons)tEr59,Savannah,Varda,385-102-2305,SVarda80@ma1lboxco.uk,0,0
