ID,Username,Password,FirstName,LastName,PhoneNumber,Email,IsReviewer,IsAdmin
1,MProudfoot08,c*ompuTer42,Miranda,Proudfoot,316-618-2845,MProudfoot22@everyma1lbiz,1,1
2,HBeren97,w#ritE70,Hope,Beren,339-131-1667,,0,1
3,BAncalagon65,enDing$23,Bethany,Ancalagon,203-009-1495,BAncalagon@ma1l2uorg,1,1
4,AElladan17,ma%gneTic78,Alyssa,Elladan,385-125-8839,AElladan64@hotma1lco.uk,1,0
5,MElwing61,Compute)r01,Melanie,Elwing,808-765-5733,MElwing73@gma1lnet,1,1
6,RThe Brown31,is(laNd49,Ruth,The Brown,207-647-9453,RThe Brown19@ma1lboxorg,0,0
7,DGildor65,w%iNdow70,Daniella,Gildor,859-587-9559,,1,1
8,GKili42,wOr*ds48,Gabbi,Kili,207-956-3418,GKili@somema1lorg,0,1
9,AOri02,de^mAnded16,Andrea,Ori,,AOri37@ma1lboxorg,0,0
10,MMaggot05,wroN$g52,Madison,Maggot,423-393-1350,MMaggot15@hotma1lbiz,0,1
11,LElrohir70,wind(oW63,Linda,Elrohir,206-071-0433,LElrohir79@yah00com,1,1
12,TGorbag17,seCretly$89,Tina,Gorbag,231-504-5965,TGorbag@gma1lcom,1,0
13,CDwalin15,dEmande*d83,Clarissa,Dwalin,316-489-4136,,1,1
14,NUlmo71,abOu*t31,Norah,Ulmo,307-152-2410,NUlmo69@gma1lnet,0,1
15,CFili75,inTe$rest11,Clarissa,Fili,,CFili73@somema1lcom,1,1
16,VGamgee22,Bad)ly98,Vanessa,Gamgee,262-013-4758,VGamgee@yah00com,0,0
17,HTreebeard47,coM@puter65,Haley,Treebeard,701-189-4386,HTreebeard@b1zmailus,1,1
18,JHamfast81,enTer(63,Jasmine,Hamfast,423-483-7485,JHamfast71@ma1lboxco.uk,1,1
19,AGloin61,Sidek%ick94,Amanda,Gloin,252-181-9076,Amanda.Gloin73@hotma1lco.uk,1,0
20,KFaramir61,As!sert18,Katherine,Faramir,314-245-0273,KFaramir79@hotma1lbiz,1,0
21,LKhamul95,compu(Ter89,Lauren,Khamul,276-584-6456,LKhamul96@gma1lorg,1,0
22,LKili17,asS*ert73,Laura,Kili,201-527-7718,LKili@yah00net,1,1
23,AThe Brown69,wiCke)t22,Alexa,The Brown,219-249-5635,AThe Brown11@b1zmailorg,1,0
24,RMandos93,Ending!87,Ruth,Mandos,339-140-6721,RMandos97@ma1lboxnet,1,0
25,MAnnatar62,liBra!ry02,Michaela,Annatar,,MAnnatar48@ma1lboxbiz,1,0
26,MGoldberry02,c@omPuter91,Melanie,Goldberry,802-238-0297,MGoldberry@somema1lbiz,0,1
27,VBeregond52,booKs%74,Vivianna,Beregond,218-528-3533,VBeregond78@yah00co.uk,0,1
28,SGoldberry15,dEmand)ed90,Savannah,Goldberry,229-410-3338,SGoldberry58@gma1lorg,1,1
29,KBeren03,Pique!96,Katherine,Beren,231-104-8447,KBeren88@yah00co.uk,0,0
30,SNimrodel12,s#Moke79,Savannah,Nimrodel,,Savannah.Nimrodel@yah00org,0,1
31,LMablung76,isLan)d42,Lauren,Mablung,314-161-6780,Lauren.Mablung4@gma1lus,1,0
32,CFaramir78,hAtch*78,Chelsea,Faramir,,CFaramir69@gma1lorg,1,0
33,DThranduil20,badlY(64,Dianna,Thranduil,252-750-4983,,1,1
34,ABalin98,sP#eed19,Audrey,Balin,406-384-0391,ABalin58@yah00co.uk,1,1
35,MFili01,t(ryinG76,Melody,Fili,385-865-6988,MFili35@gma1lnet,0,0
36,LEru48,a%Bout53,Lydia,Eru,513-568-4284,LEru53@hotma1lnet,1,0
37,LBeregond93,Wic!ket03,Linda,Beregond,276-780-3530,,1,0
38,AIdril08,e@ndiNg96,Aileen,Idril,205-819-4472,AIdril24@yah00net,0,1
39,JFinarfin25,Bad$ly30,Jessie,Finarfin,401-929-2427,JFinarfin67@hotma1lnet,0,1
40,ARadagast81,s%ecreTly01,Annabella,Radagast,219-939-9890,Annabella.Radagast81@ma1lboxorg,1,1
41,LAncalagon09,shoUld(05,Lexie,Ancalagon,701-861-6772,Lexie.Ancalagon5@ma1l2uorg,0,1
42,ENimloth27,mo)nSter87,Emma,Nimloth,203-952-6792,,1,0
43,MTuor92,s!ecrEtly13,Melissa,Tuor,207-299-2032,MTuor57@somema1lorg,0,1
44,FBombadil31,L^ight17,Freya,Bombadil,303-656-3281,FBombadil44@gma1lnet,0,0
45,AFinrod52,sec^reTly02,Averie,Finrod,208-747-7626,AFinrod90@b1zmailus,1,1
46,MFinwe41,Isla#nd11,Marishka,Finwe,302-082-4403,MFinwe@gma1lorg,1,1
47,ACeleborn76,C*aptain42,Angie,Celeborn,,ACeleborn@gma1lorg,1,0
48,MEarendil30,vi$Sions22,Makenzie,Earendil,225-546-5013,MEarendil13@everyma1lbiz,1,1
49,KLegolas46,seCretly#04,Karen,Legolas,228-507-5671,KLegolas@b1zmailnet,0,0
50,LFaramir38,Sp^eed07,Lauren,Faramir,201-547-8949,LFaramir@somema1lus,1,0
51,EEru63,compU#ter83,Ellie,Eru,480-911-4192,EEru42@hotma1lnet,1,1
52,AGandalf23,sUspe#nse17,Amy,Gandalf,262-490-2699,Amy.Gandalf36@b1zmailus,0,0
53,VThranduil96,vi(sionS85,Vanessa,Thranduil,,VThranduil6@ma1l2unet,0,0
54,GAlatar53,spEe(d26,Gabbi,Alatar,513-430-6233,GAlatar58@everyma1lco.uk,0,1
55,SQuickbeam00,piq!Ue04,Sylvia,Quickbeam,252-580-8771,SQuickbeam23@b1zmailco.uk,1,0
56,ADwalin90,r^escuE41,Annabelle,Dwalin,206-978-0558,,0,1
57,JImrahil29,m@Onster56,Jamie,Imrahil,,,1,0
58,MWillow22,secRetl)y60,Magdalena,Willow,217-329-3705,MWillow@ma1lboxcom,0,1
59,ABregolas15,as^seRt86,Annabella,Bregolas,,Annabella.Bregolas@ma1l2uco.uk,0,0
60,CIngwe57,ente^R74,Crystal,Ingwe,385-546-0980,CIngwe41@gma1lnet,0,1
61,TSauron47,vIs)ions71,Tina,Sauron,859-438-0119,Tina.Sauron48@ma1lboxcom,1,1
62,SGlorfindel45,islAn)d46,Sandra,Glorfindel,513-585-4785,SGlorfindel47@somema1lco.uk,0,1
63,AMaedhros47,s@ecRetly50,Alicia,Maedhros,,AMaedhros68@everyma1lus,1,0
64,JFili03,dreAms(83,Jasmine,Fili,207-826-0892,JFili@hotma1lcom,1,0
65,KBifur25,Through$41,Kelsey,Bifur,314-643-5185,KBifur99@yah00org,0,1
66,ASulimo97,th!roW52,Alicia,Sulimo,385-344-5458,ASulimo19@hotma1lorg,1,1
67,AIlluvatar26,secrEtly!76,Ana,Illuvatar,209-883-5117,AIlluvatar98@hotma1lco.uk,0,1
68,SUngoliant02,mag#neTic75,Shelby,Ungoliant,231-243-1930,SUngoliant13@everyma1lnet,0,1
69,GTulkas80,captaI$n56,Gabbi,Tulkas,307-548-9805,GTulkas@b1zmailcom,1,1
