ID,Username,Password,FirstName,LastName,PhoneNumber,Email,IsReviewer,IsAdmin
1,MProudfoot08,comPu(ter42,Makenzie,Proudfoot,307-618-2845,MProudfoot27@somemail.net,0,0
2,LBeren97,wri)tE70,Lexie,Beren,702-131-1667,LBeren23@mailbox.biz,1,1
3,DAncalagon65,endi*Ng23,Donna,Ancalagon,219-009-1495,DAncalagon69@everymail.com,1,0
4,SElladan17,Magneti)c78,Shelby,Elladan,212-125-8839,Shelby.Elladan42@mail2u.biz,1,1
5,MElwing61,Co$mputer01,Molly,Elwing,319-765-5733,Molly.Elwing56@bizmail.biz,1,1
6,DThe Brown31,isla@Nd49,Dianna,The Brown,,Dianna.TheBrown82@hotmail.org,0,0
7,DGildor65,w)Indow70,Daniel,Gildor,,DGildor17@hotmailco.uk,1,0
8,ZKili42,wo*Rds48,Zoey,Kili,802-956-3418,ZKili12@gmail.us,1,0
9,AOri02,deman$Ded16,Abigail,Ori,201-187-4571,AOri36@gmail.biz,0,0
10,JMaggot05,w)ronG52,Jacqueline,Maggot,701-393-1350,,1,1
11,RElrohir70,wInd$ow63,Rachel,Elrohir,212-071-0433,RElrohir92@everymailco.uk,1,1
12,GGorbag17,secrE#tly89,Gabbi,Gorbag,314-504-5965,GGorbag82@mailbox.com,1,1
13,CDwalin15,Deman%ded83,Catherine,Dwalin,,CDwalin96@bizmail.us,1,0
14,MUlmo71,abO#ut31,Makenzie,Ulmo,405-152-2410,MUlmo92@hotmail.net,1,0
15,JFili75,in(teresT11,Jessie,Fili,239-159-3174,JFili73@yahoo.us,1,0
16,JGamgee22,bA^dly98,Jackson,Gamgee,218-013-4758,Jackson.Gamgee33@hotmail.biz,1,0
17,MTreebeard47,cOmpu#ter65,Melinda,Treebeard,603-189-4386,MTreebeard3@bizmailco.uk,1,1
18,DHamfast81,Enter^63,Daniella,Hamfast,,DHamfast80@hotmail.com,1,0
19,LGloin61,sidEkic@k94,Lydia,Gloin,303-181-9076,LGloin33@yahoo.net,0,0
20,LFaramir61,a(ssErt18,Linda,Faramir,605-245-0273,LFaramir86@hotmail.us,0,0
21,MKhamul95,compUte^r89,Melody,Khamul,603-584-6456,Melody.Khamul72@everymail.com,0,0
22,EKili17,aSser)t73,Elijah,Kili,215-527-7718,EKili3@everymail.biz,1,1
23,SThe Brown69,wi@Cket22,Sylvia,The Brown,479-249-5635,STheBrown@gmailco.uk,0,0
24,GMandos93,enDi^ng87,Grace,Mandos,252-140-6721,GMandos@somemail.com,1,0
25,DAnnatar62,li$Brary02,Delilah,Annatar,252-667-5689,DAnnatar59@hotmail.org,0,0
26,AGoldberry02,com!puTer91,Abigail,Goldberry,252-238-0297,AGoldberry54@mail2u.com,0,0
27,VBeregond52,bo(oKs74,Valerie,Beregond,240-528-3533,,0,0
28,IGoldberry15,dem%Anded90,Ivy,Goldberry,339-410-3338,IGoldberry11@bizmail.com,1,1
29,ABeren03,pIq@ue96,Alyssa,Beren,505-104-8447,ABeren72@bizmail.com,0,0
30,JNimrodel12,smoKe*79,Jaime,Nimrodel,,Jaime.Nimrodel6@somemail.us,0,0
31,TMablung76,is%laNd42,Tara,Mablung,231-161-6780,TMablung98@hotmail.biz,1,1
32,EFaramir78,h(aTch78,Erika,Faramir,262-846-7933,EFaramir48@gmail.net,0,0
33,GThranduil20,badLy*64,Grace,Thranduil,219-750-4983,GThranduil71@mail2uco.uk,0,0
34,NBalin98,sp!eeD19,Nicole,Balin,207-384-0391,NBalin@everymail.org,1,1
35,CFili01,tR%ying76,Catherine,Fili,803-865-6988,CFili98@hotmail.us,1,1
36,MEru48,abO@ut53,Madison,Eru,605-568-4284,MEru96@everymail.com,0,1
37,IBeregond93,wicke$T03,Isaiah,Beregond,505-780-3530,IBeregond62@gmail.us,0,0
38,AIdril08,eNd!ing96,Adrianna,Idril,603-819-4472,AIdril70@mail2uco.uk,1,0
39,JFinarfin25,badLy*30,Jamie,Finarfin,208-929-2427,JFinarfin99@everymail.com,0,1
40,CRadagast81,secre@Tly01,Claudia,Radagast,302-939-9890,CRadagast82@gmail.org,0,0
41,ZAncalagon09,sh(ouLd05,Zelda,Ancalagon,215-861-6772,ZAncalagon@everymail.com,0,0
42,TNimloth27,m(onstEr87,Toki,Nimloth,231-952-6792,TNimloth75@mailbox.net,1,1
43,ATuor92,secreTly@13,Averie,Tuor,385-299-2032,Averie.Tuor45@everymail.org,1,1
44,BBombadil31,Ligh@t17,Brooke,Bombadil,240-656-3281,Brooke.Bombadil19@everymailco.uk,0,0
45,MFinrod52,seCr$etly02,Molly,Finrod,,MFinrod64@bizmail.net,0,0
46,CFinwe41,is*laNd11,Claire,Finwe,401-082-4403,CFinwe@yahoo.com,0,0
47,HCeleborn76,caPtain(42,Helen,Celeborn,215-533-7286,HCeleborn61@gmail.com,1,1
48,CEarendil30,v$iSions22,Christina,Earendil,808-546-5013,CEarendil6@gmailco.uk,1,0
49,HLegolas46,sEc!retly04,Heidi,Legolas,,HLegolas75@hotmail.org,0,1
50,AFaramir38,sP%eed07,Autumn,Faramir,231-547-8949,AFaramir@hotmail.biz,0,0
51,CEru63,c$ompuTer83,Claire,Eru,307-911-4192,,1,0
52,MGandalf23,suspen*sE17,Matthew,Gandalf,203-490-2699,MGandalf@mail2u.us,0,1
53,HThranduil96,vi!sionS85,Heidi,Thranduil,215-640-2298,HThranduil65@hotmail.biz,1,0
54,WAlatar53,speeD@26,William,Alatar,212-430-6233,,0,0
55,JQuickbeam00,Piq%ue04,Jaime,Quickbeam,423-580-8771,JQuickbeam22@mail2u.us,1,1
56,LDwalin90,r!escuE41,Liam,Dwalin,405-978-0558,LDwalin@everymail.biz,0,0
57,SImrahil29,Monste@r56,Steven,Imrahil,212-794-7000,SImrahil40@mail2uco.uk,1,0
58,DWillow22,s$ecrEtly60,Delilah,Willow,225-329-3705,DWillow@mail2u.com,0,0
59,LBregolas15,A(ssert86,Leo,Bregolas,228-224-5462,LBregolas68@everymail.org,1,0
60,FIngwe57,enteR%74,Freya,Ingwe,405-546-0980,,1,0
61,LSauron47,vis!ionS71,Lydia,Sauron,,LSauron80@bizmail.us,0,0
62,EGlorfindel45,isLa$nd46,Eva,Glorfindel,,EGlorfindel@hotmail.net,0,0
63,EMaedhros47,sEcre!tly50,Elizabeth,Maedhros,219-793-1756,Elizabeth.Maedhros36@somemailco.uk,0,1
64,IFili03,drea*Ms83,Isabell,Fili,217-826-0892,IFili41@hotmail.biz,0,1
65,NBifur25,tH(rough41,Noah,Bifur,207-643-5185,NBifur@hotmail.us,0,0
66,NSulimo97,t^hRow52,Noah,Sulimo,206-344-5458,NSulimo59@hotmail.com,1,1
67,HIlluvatar26,sec@retlY76,Hanna,Illuvatar,208-883-5117,Hanna.Illuvatar28@bizmail.biz,0,1
68,LUngoliant02,mAgn@etic75,Liv,Ungoliant,406-243-1930,LUngoliant38@gmail.us,1,1
69,MTulkas80,caPtai*n56,Mary,Tulkas,702-548-9805,MTulkas94@mailboxco.uk,0,1
70,KFingolfin62,sh*oulD76,Katie,Fingolfin,702-370-5414,KFingolfin57@hotmail.com,1,0
71,SStormcrow08,coMput!er12,Sylvia,Stormcrow,314-975-1960,SStormcrow@mailbox.us,0,1
72,LMithrandir40,wrOn(g85,Lauren,Mithrandir,239-072-9182,LMithrandir@yahoo.net,0,1
73,VSackville59,lI!ght19,Valerie,Sackville,,VSackville99@mailbox.net,1,1
74,EEarendil67,eN#ter81,Eve,Earendil,907-981-6696,EEarendil76@gmail.biz,1,0
75,MShelob53,capt(Ain17,Melinda,Shelob,212-067-9054,MShelob77@everymail.biz,0,1
76,IElwing69,s@ecretLy89,Ivy,Elwing,803-082-2013,IElwing2@mail2u.biz,1,1
77,LThranduil16,int%eRest74,Lexie,Thranduil,225-555-5518,LThranduil66@mailbox.biz,0,0
78,QLurtz05,l$ighT87,Quinn,Lurtz,209-630-1014,QLurtz96@gmail.biz,0,0
79,AMaeglin00,s^ecreTly07,Adrianna,Maeglin,212-242-4901,AMaeglin33@everymail.com,0,0
80,VYavanna83,askeD%31,Veronica,Yavanna,217-745-7424,VYavanna40@mail2uco.uk,0,1
81,EOlorin93,mAgnet*ic89,Elizabeth,Olorin,307-342-2839,EOlorin@yahoo.com,1,0
82,RElladan50,shou(Ld82,Raven,Elladan,505-792-2070,Raven.Elladan94@somemailco.uk,1,1
83,LBombur95,w*inDow46,Lucas,Bombur,405-972-7209,LBombur13@hotmail.us,1,0
84,MKhamul03,eNd!ing20,Madison,Khamul,252-248-2630,MKhamul2@bizmail.us,1,1
85,JDenethor39,asS(ert46,Jacqueline,Denethor,218-642-9873,Jacqueline.Denethor@bizmail.net,1,0
86,CIsildur23,Libr#ary92,Chloe,Isildur,,CIsildur15@hotmailco.uk,0,0
87,LYavanna50,captAi#n58,Lydia,Yavanna,307-679-9969,,0,0
88,KShagrat15,sp!eEd48,Kate,Shagrat,308-611-2673,KShagrat20@bizmail.biz,1,0
89,HQuickbeam08,rE$scue36,Haley,Quickbeam,405-273-1118,HQuickbeam51@mail2uco.uk,1,0
90,VGrahame45,a!sserT48,Valerie,Grahame,225-118-2595,VGrahame47@yahoo.com,0,1
