ID,Username,Password,FirstName,LastName,PhoneNumber,Email,IsReviewer,IsAdmin
1,MProudfoot08,cOm%puter42,Miranda,Proudfoot,203-618-2845,MProudfoot26@yah00co.uk,1,0
2,HBeren97,wRi*te70,Hope,Beren,203-131-1667,HBeren55@everyma1lus,1,0
3,BAncalagon65,endIn(g23,Bethany,Ancalagon,231-009-1495,BAncalagon93@b1zmailcom,0,1
4,AElladan17,ma$gnetiC78,Alyssa,Elladan,701-125-8839,Alyssa.Elladan53@everyma1lorg,0,0
5,MElwing61,computEr$01,Melanie,Elwing,,MElwing51@somema1lcom,0,1
6,RThe Brown31,islAn!d49,Ruth,The Brown,603-647-9453,Ruth.The Brown32@b1zmailnet,1,1
7,DGildor65,w)indOw70,Daniella,Gildor,208-587-9559,Daniella.Gildor60@everyma1lus,0,1
8,GKili42,wordS*48,Gabbi,Kili,218-956-3418,Gabbi.Kili43@somema1lbiz,1,0
9,AOri02,de^mandeD16,Andrea,Ori,480-187-4571,AOri@hotma1lnet,1,0
10,MMaggot05,wron*G52,Madison,Maggot,,MMaggot21@b1zmailcom,0,1
11,LElrohir70,wiNd)ow63,Linda,Elrohir,209-071-0433,LElrohir80@everyma1lnet,0,0
12,TGorbag17,sec)retlY89,Tina,Gorbag,605-504-5965,Tina.Gorbag78@b1zmailco.uk,1,0
13,CDwalin15,demandEd)83,Clarissa,Dwalin,218-489-4136,Clarissa.Dwalin@somema1lcom,1,1
14,NUlmo71,abOu$t31,Norah,Ulmo,,NUlmo53@ma1l2unet,1,0
15,CFili75,int@erEst11,Clarissa,Fili,225-159-3174,CFili69@ma1l2uco.uk,1,1
16,VGamgee22,ba^Dly98,Vanessa,Gamgee,304-013-4758,VGamgee11@ma1l2ubiz,0,1
17,HTreebeard47,Computer^65,Haley,Treebeard,209-189-4386,Haley.Treebeard67@ma1l2ucom,1,1
18,JHamfast81,Enter)63,Jasmine,Hamfast,207-483-7485,JHamfast7@everyma1lco.uk,0,1
19,AGloin61,sideKick)94,Amanda,Gloin,240-181-9076,AGloin83@b1zmailnet,0,1
20,KFaramir61,Ass^ert18,Katherine,Faramir,,KFaramir@everyma1lbiz,1,1
21,LKhamul95,compu#teR89,Lauren,Khamul,406-584-6456,Lauren.Khamul@hotma1lnet,0,0
22,LKili17,aSser#t73,Laura,Kili,319-527-7718,Laura.Kili52@hotma1lorg,1,1
23,AThe Brown69,wic(Ket22,Alexa,The Brown,252-249-5635,Alexa.The Brown@gma1lnet,1,1
24,RMandos93,eNdin$g87,Ruth,Mandos,314-140-6721,RMandos74@b1zmailnet,0,0
25,MAnnatar62,Li#brary02,Michaela,Annatar,303-667-5689,MAnnatar@gma1lorg,1,1
26,MGoldberry02,coMputer(91,Melanie,Goldberry,206-238-0297,MGoldberry@everyma1lco.uk,0,0
27,VBeregond52,Bo$oks74,Vivianna,Beregond,307-528-3533,VBeregond18@hotma1lus,1,1
28,SGoldberry15,demandEd@90,Savannah,Goldberry,319-410-3338,Savannah.Goldberry20@yah00net,1,0
29,KBeren03,Piqu@e96,Katherine,Beren,252-104-8447,KBeren31@somema1lcom,1,0
30,SNimrodel12,smo%kE79,Savannah,Nimrodel,603-259-1328,SNimrodel@everyma1lnet,0,0
31,LMablung76,i(slanD42,Lauren,Mablung,302-161-6780,LMablung@hotma1lus,0,1
32,CFaramir78,Hatc#h78,Chelsea,Faramir,276-846-7933,CFaramir21@ma1lboxco.uk,0,0
33,DThranduil20,bAdly!64,Dianna,Thranduil,505-750-4983,DThranduil72@ma1lboxnet,1,0
34,ABalin98,s!peEd19,Audrey,Balin,206-384-0391,ABalin72@ma1lboxco.uk,1,0
35,MFili01,t#ryiNg76,Melody,Fili,316-865-6988,MFili92@gma1lus,0,1
36,LEru48,abo%uT53,Lydia,Eru,458-568-4284,Lydia.Eru47@somema1lorg,0,1
37,LBeregond93,Wic%ket03,Linda,Beregond,605-780-3530,LBeregond@hotma1lorg,1,0
38,AIdril08,eNd(ing96,Aileen,Idril,907-819-4472,AIdril@ma1lboxcom,0,0
39,JFinarfin25,badlY%30,Jessie,Finarfin,239-929-2427,,1,1
40,ARadagast81,sEc@retly01,Annabella,Radagast,316-939-9890,ARadagast@b1zmailus,1,0
41,LAncalagon09,sHou$ld05,Lexie,Ancalagon,208-861-6772,,0,0
42,ENimloth27,Monster^87,Emma,Nimloth,206-952-6792,,1,1
43,MTuor92,Secretl%y13,Melissa,Tuor,603-299-2032,MTuor8@somema1lorg,0,0
44,FBombadil31,lI^ght17,Freya,Bombadil,239-656-3281,FBombadil94@yah00com,0,0
45,AFinrod52,seCretly^02,Averie,Finrod,,AFinrod10@ma1l2ucom,0,1
46,MFinwe41,islaN%d11,Marishka,Finwe,,MFinwe75@hotma1lbiz,1,0
47,ACeleborn76,capta*iN42,Angie,Celeborn,480-533-7286,Angie.Celeborn91@hotma1lbiz,0,1
48,MEarendil30,vI#sions22,Makenzie,Earendil,458-546-5013,MEarendil46@ma1l2ubiz,0,0
49,KLegolas46,secr^eTly04,Karen,Legolas,240-507-5671,,1,0
50,LFaramir38,spE$ed07,Lauren,Faramir,307-547-8949,LFaramir49@b1zmailcom,1,0
51,EEru63,compu@Ter83,Ellie,Eru,316-911-4192,EEru57@gma1lco.uk,1,1
52,AGandalf23,susPense!17,Amy,Gandalf,262-490-2699,AGandalf44@b1zmailus,1,0
53,VThranduil96,visi!oNs85,Vanessa,Thranduil,603-640-2298,VThranduil40@ma1l2ucom,0,0
54,GAlatar53,s!peeD26,Gabbi,Alatar,217-430-6233,GAlatar@yah00org,0,1
55,SQuickbeam00,pi$Que04,Sylvia,Quickbeam,339-580-8771,Sylvia.Quickbeam9@yah00org,1,0
56,ADwalin90,rEscu*e41,Annabelle,Dwalin,304-978-0558,ADwalin20@gma1lcom,1,1
57,JImrahil29,moNst%er56,Jamie,Imrahil,219-794-7000,JImrahil24@yah00com,1,0
58,MWillow22,secRetl#y60,Magdalena,Willow,206-329-3705,MWillow92@b1zmailcom,1,1
59,ABregolas15,asSer*t86,Annabella,Bregolas,802-224-5462,ABregolas60@hotma1lorg,1,0
60,CIngwe57,entE#r74,Crystal,Ingwe,225-546-0980,Crystal.Ingwe49@gma1lbiz,0,0
61,TSauron47,vi)sioNs71,Tina,Sauron,252-438-0119,,0,0
62,SGlorfindel45,I(sland46,Sandra,Glorfindel,302-585-4785,Sandra.Glorfindel@gma1lco.uk,1,1
63,AMaedhros47,secret*lY50,Alicia,Maedhros,859-793-1756,,0,0
64,JFili03,dReams)83,Jasmine,Fili,859-826-0892,,1,0
