ID,Username,Password,FirstName,LastName,PhoneNumber,Email,IsReviewer,IsAdmin
1,MProudfoot08,compuTer!42,Makenzie,Proudfoot,307-618-2845,MProudfoot@ma1l2unet,0,0
2,LBeren97,wrIt#e70,Lexie,Beren,229-131-1667,Lexie.Beren84@everyma1lnet,1,0
3,DAncalagon65,End(ing23,Donna,Ancalagon,219-009-1495,DAncalagon82@ma1l2unet,1,0
4,SElladan17,magn@Etic78,Shelby,Elladan,219-125-8839,SElladan41@yah00biz,0,1
5,MElwing61,computE$r01,Molly,Elwing,319-765-5733,MElwing69@everyma1lco.uk,0,0
6,DThe Brown31,isLa@nd49,Dianna,The Brown,210-647-9453,DTheBrown27@ma1l2uus,1,1
7,DGildor65,w%inDow70,Daniel,Gildor,,DGildor49@ma1l2ucom,0,0
8,ZKili42,wO^rds48,Zoey,Kili,207-956-3418,ZKili@everyma1lcom,1,0
9,AOri02,d!Emanded16,Abigail,Ori,513-187-4571,AOri68@ma1lboxus,0,0
10,JMaggot05,wRo%ng52,Jacqueline,Maggot,603-393-1350,JMaggot69@hotma1lnet,1,1
11,RElrohir70,wiNdo!w63,Rachel,Elrohir,480-071-0433,RElrohir39@gma1lcom,0,1
12,GGorbag17,Secr)etly89,Gabbi,Gorbag,808-504-5965,GGorbag78@hotma1lcom,1,1
13,CDwalin15,de%manDed83,Catherine,Dwalin,,CDwalin18@yah00net,1,1
14,MUlmo71,aB)out31,Makenzie,Ulmo,302-152-2410,MUlmo81@somema1lco.uk,1,0
15,JFili75,i%nteresT11,Jessie,Fili,229-159-3174,Jessie.Fili@yah00org,0,1
16,JGamgee22,baDl#y98,Jackson,Gamgee,406-013-4758,JGamgee2@ma1l2ucom,1,0
17,MTreebeard47,co!mputEr65,Melinda,Treebeard,803-189-4386,,0,0
18,DHamfast81,entEr!63,Daniella,Hamfast,217-483-7485,DHamfast17@everyma1lus,1,0
19,LGloin61,sidek@icK94,Lydia,Gloin,219-181-9076,LGloin72@gma1lorg,0,0
20,LFaramir61,ass@erT18,Linda,Faramir,209-245-0273,LFaramir@hotma1lco.uk,0,0
21,MKhamul95,c)omputEr89,Melody,Khamul,,MKhamul77@b1zmailco.uk,0,1
22,EKili17,asSer#t73,Elijah,Kili,276-527-7718,EKili12@ma1l2uco.uk,1,0
23,SThe Brown69,w%iCket22,Sylvia,The Brown,208-249-5635,STheBrown71@gma1lorg,0,0
24,GMandos93,eNdin%g87,Grace,Mandos,,GMandos43@gma1lnet,0,1
25,DAnnatar62,libraR^y02,Delilah,Annatar,207-667-5689,,1,0
26,AGoldberry02,coMputer%91,Abigail,Goldberry,215-238-0297,AGoldberry@ma1l2uorg,0,0
27,VBeregond52,bOok)s74,Valerie,Beregond,803-528-3533,,1,0
28,IGoldberry15,dem^aNded90,Ivy,Goldberry,,IGoldberry87@somema1lus,0,0
29,ABeren03,piqu$E96,Alyssa,Beren,252-104-8447,ABeren95@yah00biz,0,0
30,JNimrodel12,smo@Ke79,Jaime,Nimrodel,219-259-1328,JNimrodel74@yah00com,0,0
31,TMablung76,i(slAnd42,Tara,Mablung,203-161-6780,TMablung30@everyma1lco.uk,0,0
32,EFaramir78,hAt@ch78,Erika,Faramir,339-846-7933,Erika.Faramir69@ma1l2ucom,0,0
33,GThranduil20,bA*dly64,Grace,Thranduil,319-750-4983,GThranduil4@somema1lnet,0,0
34,NBalin98,Sp*eed19,Nicole,Balin,308-384-0391,Nicole.Balin4@everyma1lorg,1,0
35,CFili01,tryinG@76,Catherine,Fili,423-865-6988,CFili88@gma1lbiz,0,1
36,MEru48,Abou*t53,Madison,Eru,802-568-4284,MEru82@hotma1lus,1,1
37,IBeregond93,wi$Cket03,Isaiah,Beregond,702-780-3530,IBeregond@b1zmailcom,0,1
38,AIdril08,eNdin)g96,Adrianna,Idril,208-819-4472,AIdril32@hotma1lbiz,1,0
39,JFinarfin25,b^Adly30,Jamie,Finarfin,339-929-2427,JFinarfin22@ma1lboxcom,1,1
40,CRadagast81,s!eCretly01,Claudia,Radagast,219-939-9890,Claudia.Radagast@gma1lus,1,1
41,ZAncalagon09,shOu)ld05,Zelda,Ancalagon,314-861-6772,ZAncalagon@ma1l2ucom,0,1
42,TNimloth27,mOnst^er87,Toki,Nimloth,401-952-6792,Toki.Nimloth@ma1l2ucom,0,1
43,ATuor92,secreT#ly13,Averie,Tuor,,ATuor@ma1l2ucom,0,1
44,BBombadil31,Light)17,Brooke,Bombadil,314-656-3281,Brooke.Bombadil57@everyma1lus,0,1
45,MFinrod52,s@ecrEtly02,Molly,Finrod,513-747-7626,Molly.Finrod39@ma1l2ucom,1,0
46,CFinwe41,Islan*d11,Claire,Finwe,210-082-4403,,1,1
47,HCeleborn76,captaiN(42,Helen,Celeborn,603-533-7286,Helen.Celeborn@somema1lorg,0,1
48,CEarendil30,visI^ons22,Christina,Earendil,316-546-5013,CEarendil93@somema1lco.uk,1,0
49,HLegolas46,seCr(etly04,Heidi,Legolas,302-507-5671,HLegolas8@b1zmailus,1,1
50,AFaramir38,s%peeD07,Autumn,Faramir,605-547-8949,AFaramir@yah00org,1,0
51,CEru63,c!ompUter83,Claire,Eru,859-911-4192,CEru54@b1zmailus,0,0
52,MGandalf23,suspeNse%17,Matthew,Gandalf,314-490-2699,,0,1
53,HThranduil96,visio(nS85,Heidi,Thranduil,308-640-2298,HThranduil@yah00co.uk,1,0
54,WAlatar53,sPe!ed26,William,Alatar,231-430-6233,WAlatar@somema1lnet,0,1
55,JQuickbeam00,pIqu(e04,Jaime,Quickbeam,209-580-8771,,0,1
56,LDwalin90,r)escuE41,Liam,Dwalin,203-978-0558,LDwalin40@gma1lco.uk,0,1
57,SImrahil29,monsTe$r56,Steven,Imrahil,304-794-7000,SImrahil6@gma1lus,0,1
58,DWillow22,sEcr$etly60,Delilah,Willow,304-329-3705,Delilah.Willow8@ma1lboxorg,0,1
59,LBregolas15,a$ssErt86,Leo,Bregolas,303-224-5462,,0,1
60,FIngwe57,Ente#r74,Freya,Ingwe,316-546-0980,FIngwe37@ma1l2ucom,0,0
61,LSauron47,vIsi(ons71,Lydia,Sauron,225-438-0119,LSauron45@gma1lnet,1,1
62,EGlorfindel45,islaNd#46,Eva,Glorfindel,262-585-4785,EGlorfindel@gma1lorg,0,1
63,EMaedhros47,sEcretl^y50,Elizabeth,Maedhros,276-793-1756,EMaedhros24@everyma1lorg,1,1
